,sick,healthy,not_in_sick,not_in_healthy
0,87,385,30,147
1,108,476,9,56
2,87,385,30,147
3,0,0,117,532
4,0,0,117,532
5,0,0,117,532
6,0,0,117,532
7,74,359,43,173
8,0,0,117,532
9,0,0,117,532
10,0,0,117,532
11,0,0,117,532
12,0,0,117,532
13,0,0,117,532
14,108,476,9,56
15,0,0,117,532
16,0,0,117,532
17,0,0,117,532
18,0,0,117,532
19,74,358,43,174
20,0,0,117,532
21,0,0,117,532
22,0,0,117,532
23,0,0,117,532
24,107,471,10,61
25,108,474,9,58
26,107,471,10,61
27,107,470,10,62
28,107,471,10,61
29,0,0,117,532
30,0,0,117,532
31,107,471,10,61
32,107,470,10,62
33,101,454,16,78
34,0,0,117,532
35,0,0,117,532
36,0,0,117,532
37,0,0,117,532
38,0,0,117,532
39,0,0,117,532
40,68,339,49,193
41,73,351,44,181
42,69,344,48,188
43,68,335,49,197
44,65,329,52,203
45,60,302,57,230
46,69,340,48,192
47,63,311,54,221
48,60,304,57,228
49,60,302,57,230
50,63,311,54,221
51,100,451,17,81
52,60,304,57,228
53,60,298,57,234
54,91,411,26,121
55,58,292,59,240
56,0,0,117,532
57,0,0,117,532
58,60,300,57,232
59,89,420,28,112
60,0,0,117,532
61,0,0,117,532
62,60,298,57,234
63,58,292,59,240
64,60,300,57,232
65,0,0,117,532
66,0,0,117,532
67,107,468,10,64
68,107,453,10,79
69,102,450,15,82
70,101,459,16,73
71,1,1,116,531
72,2,9,115,523
73,83,373,34,159
74,106,471,11,61
75,98,437,19,95
76,98,442,19,90
77,104,455,13,77
78,88,416,29,116
79,92,425,25,107
80,96,439,21,93
81,93,409,24,123
82,97,435,20,97
83,86,403,31,129
84,89,417,28,115
85,89,424,28,108
86,92,422,25,110
87,93,430,24,102
88,84,394,33,138
89,102,436,15,96
90,101,451,16,81
91,0,0,117,532
92,0,0,117,532
93,0,0,117,532
94,0,0,117,532
95,103,464,14,68
96,96,440,21,92
97,89,425,28,107
98,90,418,27,114
99,0,0,117,532
100,0,0,117,532
101,83,382,34,150
102,79,365,38,167
103,104,466,13,66
104,97,452,20,80
105,93,420,24,112
106,98,444,19,88
107,87,410,30,122
108,90,426,27,106
109,89,431,28,101
110,93,431,24,101
111,93,438,24,94
112,85,403,32,129
113,95,433,22,99
114,86,405,31,127
115,87,416,30,116
116,88,420,29,112
117,89,420,28,112
118,84,398,33,134
119,0,0,117,532
120,83,377,34,155
121,78,370,39,162
122,77,351,40,181
123,98,444,19,88
124,89,431,28,101
125,93,431,24,101
126,93,438,24,94
127,93,414,24,118
128,85,402,32,130
129,0,0,117,532
130,0,0,117,532
131,103,463,14,69
132,0,0,117,532
133,0,0,117,532
134,0,0,117,532
135,1,1,116,531
136,101,436,16,96
137,0,0,117,532
138,0,0,117,532
139,80,375,37,157
140,96,440,21,92
141,100,450,17,82
142,89,424,28,108
143,94,434,23,98
144,89,410,28,122
145,87,416,30,116
146,99,448,18,84
147,0,0,117,532
148,0,0,117,532
149,90,418,27,114
150,0,0,117,532
151,0,0,117,532
152,0,0,117,532
153,0,0,117,532
154,0,0,117,532
155,0,0,117,532
156,0,0,117,532
157,0,0,117,532
158,0,0,117,532
159,0,0,117,532
160,0,0,117,532
161,79,365,38,167
162,93,438,24,94
163,0,0,117,532
164,85,392,32,140
165,60,298,57,234
166,91,411,26,121
167,92,411,25,121
168,92,411,25,121
169,92,410,25,122
170,0,1,117,531
171,1,5,116,527
172,58,292,59,240
173,85,400,32,132
174,85,400,32,132
175,61,332,56,200
176,82,382,35,150
177,0,1,117,531
178,1,4,116,528
179,92,423,25,109
180,0,0,117,532
181,0,0,117,532
182,60,300,57,232
183,89,419,28,113
184,89,420,28,112
185,89,420,28,112
186,64,339,53,193
187,84,403,33,129
188,101,451,16,81
189,64,344,53,188
190,84,408,33,124
191,59,323,58,209
192,92,410,25,122
193,61,332,56,200
194,82,382,35,150
195,64,339,53,193
196,84,403,33,129
197,99,448,18,84
198,59,323,58,209
199,0,0,117,532
200,0,0,117,532
201,58,289,59,243
202,85,392,32,140
203,85,392,32,140
204,85,392,32,140
205,61,327,56,205
206,82,378,35,154
207,0,1,117,531
208,1,4,116,528
209,60,298,57,234
210,60,298,57,234
211,60,298,57,234
212,0,1,117,531
213,60,298,57,234
214,1,5,116,527
215,92,410,25,122
216,0,0,117,532
217,0,0,117,532
218,58,292,59,240
219,42,248,75,284
220,57,286,60,246
221,0,1,117,531
222,58,292,59,240
223,1,4,116,528
224,61,332,56,200
225,82,382,35,150
226,58,314,59,218
227,0,0,117,532
228,0,0,117,532
229,60,302,57,230
230,0,0,117,532
231,0,0,117,532
232,0,0,117,532
233,92,410,25,122
234,61,332,56,200
235,82,382,35,150
236,61,327,56,205
237,82,378,35,154
238,60,298,57,234
239,58,314,59,218
240,0,0,117,532
241,0,0,117,532
242,0,0,117,532
243,0,0,117,532
244,0,0,117,532
245,0,0,117,532
246,0,0,117,532
247,0,0,117,532
248,0,0,117,532
249,0,0,117,532
250,0,0,117,532
251,0,0,117,532
252,60,300,57,232
253,60,300,57,232
254,44,253,73,279
255,58,294,59,238
256,60,300,57,232
257,64,339,53,193
258,84,404,33,128
259,59,322,58,210
260,63,311,54,221
261,0,0,117,532
262,0,0,117,532
263,1,1,116,531
264,92,410,25,122
265,64,339,53,193
266,84,403,33,129
267,99,448,18,84
268,61,327,56,205
269,82,378,35,154
270,60,298,57,234
271,59,322,58,210
272,0,0,117,532
273,0,0,117,532
274,42,248,75,284
275,61,332,56,200
276,82,382,35,150
277,64,339,53,193
278,84,403,33,129
279,59,323,58,209
280,61,327,56,205
281,82,378,35,154
282,58,314,59,218
283,59,322,58,210
284,0,0,117,532
285,0,0,117,532
286,60,298,57,234
287,0,0,117,532
288,0,0,117,532
289,0,0,117,532
290,0,0,117,532
291,0,0,117,532
292,0,0,117,532
293,0,0,117,532
294,0,0,117,532
295,0,0,117,532
296,0,0,117,532
297,0,0,117,532
298,0,0,117,532
299,0,0,117,532
300,1,0,116,532
301,0,0,117,532
302,86,393,31,139
303,102,435,15,97
304,0,0,117,532
305,0,0,117,532
306,0,0,117,532
307,95,433,22,99
308,87,416,30,116
309,88,420,29,112
310,89,420,28,112
311,91,426,26,106
312,103,465,14,67
313,87,412,30,120
314,87,417,30,115
315,82,390,35,142
316,82,401,35,131
317,87,416,30,116
318,87,414,30,118
319,87,416,30,116
320,96,437,21,95
321,89,425,28,107
322,87,414,30,118
323,96,437,21,95
324,0,0,117,532
325,61,327,56,205
326,82,378,35,154
327,91,408,26,124
328,60,298,57,234
329,77,338,40,194
330,92,410,25,122
331,89,385,28,147
332,90,399,27,133
333,58,314,59,218
334,61,331,56,201
335,42,248,75,284
336,53,276,64,256
337,61,332,56,200
338,60,315,57,217
339,61,324,56,208
340,82,382,35,150
341,57,286,60,246
342,69,320,48,212
343,82,382,35,150
344,80,362,37,170
345,81,375,36,157
346,77,343,40,189
347,89,397,28,135
348,90,409,27,123
349,88,384,29,148
350,59,322,58,210
351,64,339,53,193
352,44,253,73,279
353,54,279,63,253
354,63,318,54,214
355,64,332,53,200
356,84,403,33,129
357,58,294,59,238
358,69,336,48,196
359,81,373,36,159
360,82,394,35,138
361,63,311,54,221
362,88,403,29,129
363,79,364,38,168
364,94,404,23,128
365,95,431,22,101
366,93,396,24,136
367,59,323,58,209
368,51,267,66,265
369,58,307,59,225
370,59,317,58,215
371,63,315,54,217
372,81,371,36,161
373,92,409,25,123
374,0,0,117,532
375,74,324,43,208
376,75,335,42,197
377,88,384,29,148
378,0,0,117,532
379,58,313,59,219
380,61,327,56,205
381,42,246,75,286
382,61,327,56,205
383,82,378,35,154
384,57,284,60,248
385,82,378,35,154
386,60,298,57,234
387,60,298,57,234
388,41,242,76,290
389,58,314,59,218
390,0,0,117,532
391,88,384,29,148
392,0,0,117,532
393,59,322,58,210
394,42,247,75,285
395,0,0,117,532
396,0,0,117,532
397,0,0,117,532
398,0,0,117,532
399,0,0,117,532
400,0,0,117,532
401,0,0,117,532
402,0,0,117,532
403,0,0,117,532
404,0,0,117,532
405,0,0,117,532
406,0,0,117,532
407,0,0,117,532
408,0,0,117,532
409,0,0,117,532
410,0,0,117,532
411,0,0,117,532
412,0,0,117,532
413,0,0,117,532
414,0,0,117,532
415,0,0,117,532
416,0,0,117,532
417,0,0,117,532
418,0,0,117,532
419,0,0,117,532
420,0,0,117,532
421,0,0,117,532
422,0,0,117,532
423,0,0,117,532
424,0,0,117,532
425,0,0,117,532
426,0,0,117,532
427,0,0,117,532
428,0,0,117,532
429,0,0,117,532
430,0,0,117,532
431,0,0,117,532
432,0,0,117,532
433,0,0,117,532
434,0,0,117,532
435,0,0,117,532
436,0,0,117,532
437,0,0,117,532
438,0,0,117,532
439,0,0,117,532
440,0,0,117,532
441,0,0,117,532
442,0,0,117,532
443,0,0,117,532
444,0,0,117,532
445,0,0,117,532
446,0,0,117,532
447,0,0,117,532
448,78,368,39,164
449,0,0,117,532
450,90,422,27,110
451,88,428,29,104
452,86,415,31,117
453,85,399,32,133
454,93,433,24,99
455,93,438,24,94
456,93,438,24,94
457,102,460,15,72
458,97,452,20,80
459,96,437,21,95
460,0,0,117,532
461,96,434,21,98
462,89,425,28,107
463,93,433,24,99
464,0,0,117,532
465,83,393,34,139
466,82,396,35,136
467,83,409,34,123
468,90,416,27,116
469,88,418,29,114
470,90,422,27,110
471,88,422,29,110
472,88,424,29,108
473,88,428,29,104
474,96,434,21,98
475,78,381,39,151
476,83,394,34,138
477,80,370,37,162
478,83,395,34,137
479,82,381,35,151
480,90,420,27,112
481,89,425,28,107
482,87,414,30,118
483,96,437,21,95
484,0,0,117,532
485,88,413,29,119
486,88,419,29,113
487,96,434,21,98
488,80,369,37,163
489,83,405,34,127
490,89,425,28,107
491,91,426,26,106
492,93,433,24,99
493,0,0,117,532
494,88,413,29,119
495,88,419,29,113
496,96,434,21,98
497,86,410,31,122
498,93,433,24,99
499,81,375,36,157
500,0,0,117,532
501,80,369,37,163
502,87,414,30,118
503,0,0,117,532
504,88,413,29,119
505,80,369,37,163
506,83,405,34,127
507,86,410,31,122
508,0,0,117,532
509,88,419,29,113
510,83,405,34,127
511,89,425,28,107
512,86,410,31,122
513,93,433,24,99
514,0,0,117,532
515,0,0,117,532
516,86,391,31,141
517,95,412,22,120
518,0,0,117,532
519,0,0,117,532
520,85,407,32,125
521,87,412,30,120
522,93,427,24,105
523,79,365,38,167
524,81,377,36,155
525,82,399,35,133
526,87,414,30,118
527,88,418,29,114
528,84,400,33,132
529,87,415,30,117
530,91,421,26,111
531,84,407,33,125
532,73,317,44,215
533,0,0,117,532
534,0,0,117,532
535,0,0,117,532
536,0,0,117,532
537,0,0,117,532
538,0,0,117,532
539,0,0,117,532
540,0,0,117,532
541,0,0,117,532
542,0,0,117,532
543,78,365,39,167
544,78,365,39,167
545,80,377,37,155
546,83,400,34,132
547,88,413,29,119
548,88,419,29,113
549,76,355,41,177
550,80,369,37,163
551,78,367,39,165
552,83,405,34,127
553,77,357,40,175
554,86,410,31,122
