,A,B,C
B013HN,1.0,1.0,1.0
C004DK,1.0,1.0,0.0
H056KL,1.0,0.0,1.0
H243IF,1.0,1.0,1.0
B001VVC,1.0,0.0,0.0
B002LA,1.0,0.0,0.0
B003SC,1.0,1.0,0.0
B004GS,1.0,0.0,1.0
B005YS,1.0,0.0,0.0
B006TR,1.0,0.0,0.0
B007AP,1.0,1.0,0.0
B008AB,1.0,0.0,0.0
B009HM,1.0,0.0,1.0
B010SF,1.0,1.0,1.0
B011SY,1.0,1.0,1.0
B012YK,1.0,1.0,1.0
B014ML,1.0,1.0,1.0
B2011MN,1.0,1.0,0.0
B2014HE,1.0,1.0,0.0
C001LK,1.0,1.0,0.0
C002SA,1.0,0.0,0.0
C007TO,1.0,0.0,0.0
C008LM,1.0,0.0,0.0
C010LV,1.0,1.0,0.0
C011NK,1.0,0.0,1.0
C012RV,1.0,0.0,0.0
C013NN,1.0,1.0,0.0
C016SK,1.0,0.0,0.0
C020IV,1.0,1.0,0.0
C022DY,1.0,0.0,1.0
C024LF,1.0,0.0,0.0
C025DN,1.0,0.0,0.0
C028KK,1.0,1.0,0.0
C029GS,1.0,0.0,1.0
H001EA,1.0,1.0,1.0
H002KC,1.0,0.0,0.0
H003IA,1.0,1.0,0.0
H004RA,1.0,0.0,1.0
H005MI,1.0,1.0,1.0
H006AK,1.0,0.0,1.0
H008YP,1.0,0.0,0.0
H009AC,1.0,0.0,0.0
H011AA,1.0,0.0,0.0
H012DK,1.0,1.0,0.0
H014NG,1.0,0.0,0.0
H015AK,1.0,0.0,0.0
H016TT,1.0,0.0,0.0
H017LH,1.0,1.0,1.0
H019PS,1.0,1.0,1.0
H020LZ,1.0,0.0,0.0
H021AH,1.0,0.0,1.0
H022II,1.0,0.0,1.0
H024HC,1.0,0.0,0.0
H026SD,1.0,0.0,0.0
H028SS,1.0,1.0,1.0
H030YY,1.0,0.0,0.0
H033RB,1.0,0.0,0.0
H035RM,1.0,0.0,1.0
H036OB,1.0,0.0,0.0
H037RM,1.0,1.0,1.0
H038DA,1.0,0.0,1.0
H039OH,1.0,1.0,0.0
H041MA,1.0,0.0,0.0
H042MS,1.0,0.0,0.0
H043EI,1.0,1.0,1.0
H044YR,1.0,0.0,1.0
H045RS,1.0,0.0,1.0
H046SK,1.0,0.0,1.0
H047HK,1.0,1.0,0.0
H048OA,1.0,0.0,0.0
H049LH,1.0,1.0,1.0
H050ER,1.0,0.0,1.0
H051TZ,1.0,0.0,0.0
H052MS,1.0,0.0,1.0
H053RS,1.0,0.0,0.0
H055SA,1.0,0.0,1.0
H057EE,1.0,0.0,1.0
H058SB,1.0,1.0,1.0
H059DO,1.0,1.0,1.0
H060GE,1.0,0.0,1.0
H061RN,1.0,0.0,0.0
H064RK,1.0,0.0,0.0
H067EL,1.0,0.0,0.0
H072AO,1.0,1.0,0.0
H074NT,1.0,1.0,1.0
H075YT,1.0,0.0,0.0
H079NG,1.0,1.0,1.0
H082LS,1.0,1.0,0.0
H084NBD,1.0,0.0,0.0
H086HZ,1.0,1.0,0.0
H088LAT,1.0,0.0,0.0
H090VP,1.0,1.0,1.0
H092RN,1.0,1.0,1.0
H094AM,1.0,0.0,0.0
H095TB,1.0,1.0,0.0
H096MG,1.0,1.0,0.0
H097DL,1.0,1.0,1.0
H098YS,1.0,1.0,1.0
H099MA,1.0,1.0,0.0
H100OK,1.0,1.0,1.0
H101SV,1.0,0.0,1.0
H102MH,1.0,1.0,0.0
H103MH,1.0,1.0,0.0
H104RS,1.0,0.0,0.0
H106AP,1.0,0.0,0.0
H109OS,1.0,1.0,1.0
H110SA,1.0,1.0,1.0
H111MA,1.0,1.0,0.0
H114YA,1.0,1.0,1.0
H117YS,1.0,0.0,1.0
H118RK,1.0,1.0,0.0
H120TB,1.0,0.0,1.0
H121TB,1.0,1.0,1.0
H123LC,1.0,1.0,1.0
H125BE,1.0,1.0,0.0
H126RA,1.0,1.0,1.0
H127OA,1.0,1.0,1.0
H129HL,1.0,1.0,1.0
H130LP,1.0,1.0,0.0
H131HP,1.0,1.0,0.0
H136MO,1.0,1.0,1.0
H137TP,1.0,1.0,1.0
H138LG,1.0,0.0,1.0
H139ZK,1.0,1.0,1.0
H140DD,1.0,1.0,0.0
H141AL,1.0,0.0,0.0
H142DB,1.0,1.0,1.0
H146AH,1.0,1.0,1.0
H147HS,1.0,1.0,1.0
H152NS,1.0,1.0,0.0
R001CS,1.0,1.0,0.0
R004NC,1.0,1.0,1.0
R005MB,1.0,1.0,1.0
B015SZ,1.0,1.0,0.0
B2013ND,1.0,1.0,1.0
B2026EG,1.0,1.0,1.0
C009AZ,1.0,1.0,1.0
C032YM,1.0,1.0,1.0
C033HB,1.0,1.0,0.0
H093NA,1.0,0.0,1.0
H128SS,1.0,1.0,0.0
H143SK,1.0,1.0,0.0
H151ME,1.0,0.0,0.0
H153RB,1.0,1.0,0.0
H154IM,1.0,1.0,0.0
H155HH,1.0,0.0,0.0
H156LB,1.0,1.0,0.0
H157CY,1.0,0.0,0.0
H158AG,1.0,1.0,1.0
H159YB,1.0,0.0,0.0
H160SK,1.0,0.0,0.0
H161NE,1.0,1.0,0.0
H162ML,1.0,1.0,0.0
H164RG,1.0,0.0,0.0
H165YB,1.0,0.0,0.0
H166SE,1.0,1.0,1.0
H167MB,1.0,0.0,1.0
H168MB,1.0,0.0,0.0
H169EA,1.0,1.0,0.0
H172LA,1.0,0.0,0.0
H173SV,1.0,0.0,0.0
H174NB,1.0,1.0,1.0
H175PO,1.0,1.0,0.0
H176EL,1.0,0.0,0.0
H177AY,1.0,1.0,1.0
H179HH,1.0,1.0,0.0
H180HL,1.0,1.0,0.0
H181EY,1.0,1.0,1.0
H182RP,1.0,0.0,0.0
H184SA,1.0,0.0,0.0
H185IB,1.0,0.0,0.0
H186MV,1.0,0.0,1.0
H188BD,1.0,0.0,0.0
H189SH,1.0,0.0,0.0
H190SF,1.0,0.0,0.0
H191IY,1.0,1.0,1.0
H193EA,1.0,0.0,1.0
H195SB,1.0,0.0,0.0
H196AS,1.0,0.0,0.0
H197MG,1.0,1.0,1.0
H198OA,1.0,0.0,0.0
H202YM,1.0,0.0,0.0
R002PZ,1.0,1.0,1.0
R003AS,1.0,0.0,1.0
R007NG,1.0,0.0,0.0
R008TG,1.0,0.0,0.0
R009HS,1.0,0.0,0.0
R011MS,1.0,1.0,1.0
R015NK,1.0,1.0,0.0
R017SM,1.0,1.0,0.0
R018SK,1.0,1.0,0.0
R020YS,1.0,1.0,0.0
R021SM,1.0,1.0,0.0
R022HY,1.0,0.0,0.0
R023PM,1.0,1.0,1.0
R025EM,1.0,1.0,0.0
R026SG,1.0,1.0,0.0
R028RM,1.0,1.0,1.0
R030AB,1.0,1.0,1.0
R031BA,1.0,1.0,1.0
R032RA,1.0,1.0,1.0
R033DL,1.0,0.0,1.0
R034CD,1.0,1.0,1.0
R035LK,1.0,1.0,0.0
R036DS,1.0,1.0,0.0
R038ZS,1.0,0.0,0.0
R039DS,1.0,0.0,0.0
R040SD,1.0,1.0,0.0
R041OP,1.0,1.0,0.0
R042TV,1.0,0.0,0.0
R043OK,1.0,0.0,0.0
R044EG,1.0,1.0,1.0
R047NK,1.0,1.0,1.0
R048DS,1.0,0.0,0.0
R049DG,1.0,1.0,1.0
R050BL,1.0,0.0,0.0
R051CA,1.0,1.0,1.0
R052LK,1.0,0.0,1.0
B016RN,1.0,1.0,0.0
B017MT,1.0,0.0,0.0
B018DB,1.0,1.0,1.0
H200AR,1.0,0.0,0.0
H201EK,1.0,0.0,0.0
H203AM,1.0,0.0,0.0
H205SB,1.0,1.0,1.0
H206ZD,1.0,0.0,0.0
H207BA,1.0,0.0,0.0
H208RA,1.0,0.0,0.0
H209LA,1.0,1.0,1.0
H210TB,1.0,0.0,0.0
H211ND,1.0,1.0,1.0
H212LM,1.0,0.0,1.0
H215AK,1.0,1.0,1.0
H216SL,1.0,0.0,0.0
H217YA,1.0,1.0,1.0
H218ML,1.0,0.0,0.0
H219HM,1.0,1.0,0.0
H220SY,1.0,1.0,1.0
H221HL,1.0,1.0,1.0
H222DA,1.0,1.0,0.0
H223NM,1.0,0.0,0.0
H225YS,1.0,1.0,1.0
H226SL,1.0,1.0,1.0
H227SZ,1.0,1.0,1.0
H229HF,1.0,0.0,0.0
H230SA,1.0,0.0,0.0
H231OF,1.0,0.0,0.0
H232AK,1.0,0.0,0.0
H233MG,1.0,0.0,0.0
H234IM,1.0,1.0,0.0
H235LL,1.0,1.0,1.0
H239IH,1.0,1.0,0.0
H240OC,1.0,0.0,0.0
H241SC,1.0,0.0,0.0
H242OM,1.0,0.0,0.0
H244SB,1.0,1.0,0.0
H245SB,1.0,0.0,1.0
H246IT,1.0,1.0,0.0
H248VL,1.0,0.0,0.0
H250SG,1.0,1.0,1.0
H251MC,1.0,1.0,1.0
H252SC,1.0,1.0,0.0
H254YR,1.0,1.0,1.0
H255CH,1.0,0.0,0.0
H256AL,1.0,1.0,0.0
H257SZ,1.0,1.0,0.0
H258NS,1.0,1.0,0.0
H260HB,1.0,0.0,0.0
R045MM,1.0,0.0,1.0
R046SY,1.0,0.0,0.0
R054MS,1.0,1.0,0.0
R056NB,1.0,1.0,0.0
R057SS,1.0,0.0,1.0
R058PN,1.0,0.0,0.0
R060SR,1.0,0.0,1.0
R061SM,1.0,0.0,0.0
B019AV,1.0,1.0,0.0
B020MS,1.0,1.0,1.0
H263SZ,1.0,1.0,1.0
H264AD,1.0,1.0,1.0
H265SS,1.0,1.0,1.0
H266YS,1.0,1.0,0.0
H269VS,1.0,1.0,1.0
H270IC,1.0,0.0,1.0
H271ES,1.0,1.0,1.0
H272EC,1.0,1.0,1.0
H273YM,1.0,1.0,1.0
H274MB,1.0,1.0,0.0
H275NS,1.0,0.0,0.0
H276MO,1.0,1.0,1.0
H278ML,1.0,0.0,0.0
H279NE,1.0,0.0,1.0
H281MG,1.0,0.0,0.0
H282SL,1.0,0.0,0.0
H283AR,1.0,0.0,0.0
H284OS,1.0,1.0,1.0
H286AA,1.0,1.0,0.0
H287LK,1.0,1.0,1.0
B2001HA,0.0,1.0,0.0
B2003YB,0.0,1.0,0.0
B2004OM,0.0,1.0,0.0
B2007OL,0.0,1.0,0.0
B2008SS,0.0,1.0,0.0
B2012MV,0.0,1.0,0.0
B2015AT,0.0,1.0,1.0
B2016MH,0.0,1.0,0.0
B2018LV,0.0,1.0,0.0
B2019MD,0.0,1.0,1.0
B2020LM,0.0,1.0,0.0
B2021EB,0.0,1.0,1.0
B2022AK,0.0,1.0,0.0
B2023SY,0.0,1.0,0.0
B2024KK,0.0,1.0,0.0
B2028EM,0.0,1.0,0.0
B2031EB,0.0,1.0,0.0
B2034NH,0.0,1.0,0.0
B2036NA,0.0,1.0,0.0
B2037SMH,0.0,1.0,0.0
B2039CA,0.0,1.0,0.0
B2040SE,0.0,1.0,0.0
B2041BM,0.0,1.0,0.0
B2042YS,0.0,1.0,0.0
B2043RT,0.0,1.0,1.0
H027HB,0.0,1.0,0.0
H069MT,0.0,1.0,1.0
H076RA,0.0,1.0,0.0
H077RO,0.0,1.0,0.0
H078LR,0.0,1.0,1.0
H081TS,0.0,1.0,1.0
H083BG,0.0,1.0,0.0
H087MA,0.0,1.0,1.0
H089AG,0.0,1.0,1.0
H091GP,0.0,1.0,1.0
B2038HH,0.0,1.0,1.0
C017HO,0.0,1.0,0.0
H115MF,0.0,1.0,1.0
B2045VVC,0.0,1.0,1.0
H178VG,0.0,1.0,1.0
H247HB,0.0,1.0,0.0
H238GS,0.0,1.0,0.0
H261OK,0.0,1.0,1.0
H268YS,0.0,1.0,0.0
H285CM,0.0,1.0,0.0
B2017IBH,0.0,0.0,1.0
B2029RE,0.0,0.0,1.0
B2035LH,0.0,0.0,1.0
H066DM,0.0,0.0,1.0
H073RGL,0.0,0.0,1.0
B2044YZ,0.0,0.0,1.0
